Name,LUMO ren (output),LUMO ren (output)_forecasted,LUMO ren (output)_residual,Gap_PBE,Gap_B3LYP,avgempty(eV-1),inv((LUMO+4)-LUMO),inv((LUMO+3)-LUMO),inv((LUMO+2)-LUMO),inv((LUMO+1)-LUMO)
C88-T-81737-NZ,-14.31,-7.276349557927848,-7.033650442072153,111.2,725.9,0.4706747994,0.5774555562,1.1680702939,1.3158142751,0.0
C90-C1-38,-9.1,-9.06299778140411,-0.03700221859588915,429.1,1156.2,0.5022073119,0.645167839,0.8519886159,0.9496991548,1.8656764417
C90-C1-experimental,-0.6,-2.3484722858709457,1.7484722858709456,279.3,987.7,0.4659938658,0.5379040669,0.7338794722,0.8515478554,1.7685175026
C90-C2-45,-20.42,-24.068025222529137,3.648025222529135,715.4,1535.6,0.5513046254,0.7928485649,0.9360260693,1.3172820964,1.8375429728
C90-C2v-46,-20.71,-27.902247348540378,7.192247348540377,822.0,1645.1,0.5582482962,0.9161041796,0.9389900951,1.4590913401,1.5561983668
C90-Cs-17,-35.6,-36.13914142259192,0.5391414225919178,826.9,1635.8,0.7350354419,0.8839559159,1.2901652471,1.6417395846,3.7490839629
C92-C1-59,-10.6,-8.610194734422855,-1.9898052655771448,243.8,859.7,0.5415053731,0.5869456892,0.7723516498,1.1732926698,2.4432409414
C92-C2-77,-18.27,-23.478404671728754,5.208404671728754,442.4,1099.5,0.6776665616,0.6980839682,0.7617807016,2.4884460702,3.2513592722
C92-Cs-45,-68.0,-81.43210517381405,13.432105173814051,659.8,1428.4,1.6011057656,0.9027524185,0.9739868052,4.3092892375,18.4439452078
C92-D2-81,-32.56,-27.623070427396783,-4.936929572603219,630.6,1420.0,0.7368392467,0.7575417824,0.89300292,2.1417113059,4.1272101081
C92-D2h-29,-16.29,-16.74134375849623,0.45134375849623254,324.5,1029.5,0.5677913658,0.7152843785,0.932663313,1.2610155954,2.1227710991
C92-S4-114974-NZ,-11.5,-10.331296062778513,-1.168703937221487,363.4,995.2,0.4593415507,0.6530793213,0.9034499369,1.2011607499,0.0
C92-T-86,-6.426,-3.942421905376584,-2.4835780946234163,542.9,1111.2,0.3902183858,0.6527989219,0.6531670058,0.0,0.0
C92-Td-39303-NZ,-5.8,-2.8622677564972747,-2.937732243502725,528.5,1158.5,0.4235859433,0.587963386,0.6336314978,0.0,0.0
C94-C2-126,-27.97,-25.827662872992015,-2.142337127007984,502.4,1063.9,0.7303568888,0.7275361811,0.7773161372,2.4480556557,4.1297903746
C94-C2v-52,-23.0,-20.309683829170773,-2.6903161708292274,348.7,1022.7,0.8068820375,0.6615765369,0.933266803,1.4329141287,6.759350886
C96-C2-179,-29.03,-27.34126695254279,-1.6887330474572124,585.7,1239.3,0.8013138526,0.8482104139,1.0554029371,1.5958559935,5.7248073869
C96-C2v-162,-9.9,-12.535164413692414,2.6351644136924133,342.8,972.1,0.5534473003,0.7859359682,0.9101363927,1.0901864349,2.1020311368
C96-Cs-180,-29.6,-28.668274480138493,-0.9317255198615086,585.3,1168.5,0.7425214136,0.8849850734,1.252222112,1.5336843194,3.9718087686
C96-D2h-148,-110.36,-113.1710175930923,2.811017593092302,1139.7,1927.7,2.1226747489,1.8213054929,1.9659504769,6.4358831067,23.2430016542
C96-D3h-33,-72.3,-66.4394640488395,-5.8605359511605,1361.3,2259.9,1.2659886534,1.9272372613,1.9287385273,6.0929943135,6.1233019556
C96-D6h-184,-26.09,-14.819732952300711,-11.270267047699289,601.5,1409.3,0.56571484,0.9009651089,0.9020345845,1.6007669723,1.6048857679
C98-C1-175,-5.6,-7.676398422581002,2.0763984225810024,294.7,923.4,0.5647096913,0.5809516136,0.7240341326,1.3123814694,2.8022863563
C98-C1-255,-27.81,-28.916844338762957,1.1068443387629578,643.8,1199.2,0.7485316049,0.8010570743,0.9653779786,1.8899317614,4.4694796087
C98-C2-254,-25.51,-29.034709519503267,3.524709519503265,698.9,1286.1,0.6855939722,0.8759711134,0.9298773683,2.2389179729,2.7966877686
C98-C2v-206,-8.9,-7.3169476960767454,-1.583052303923255,411.9,989.3,0.5067556411,0.9507611524,0.9755089722,1.0059420514,1.0664757385
C98-C3-253,-22.5,-29.61235311616329,7.112353116163291,806.5,1385.7,0.6761824852,0.8967946422,0.8979206207,2.4736322796,2.4853536803
C98-D3-258,-20.8,-22.68833110364502,1.8883311036450188,382.1,867.8,0.7000434829,0.7502897,0.7512299825,2.9711934152,2.9820547312
C100-C2-448,-26.34,-23.72209481042102,-2.6179051895789804,441.9,995.7,0.7514336186,0.7616270614,0.8425156126,2.9615536057,3.5995332903
C100-C2v-417,-30.3,-32.6086363662353,2.3086363662353016,950.2,1747.7,0.6980555663,0.9688289563,1.4280309454,1.5416763202,2.5673657123
C100-Cs-447,4.7,-2.7161461311612083,7.4161461311612085,251.8,834.0,0.4909072356,0.5910571368,0.6957866531,1.1568991738,1.7270076759
C100-D2-449,-34.4,-27.041848933047277,-7.358151066952722,380.6,1077.0,0.8188671931,0.7728864227,0.8987243331,3.3999427334,4.1528829022
C100-S4-285333-NZ,-23.91,-19.937040624029592,-3.972959375970408,347.3,1069.8,0.7041927633,0.7059516854,0.7430192958,5.4379340688,0.0
C100-T-321,-27.2,-20.172792700365044,-7.027207299634956,121.6,721.9,0.5653961547,0.8942643357,1.2855095384,1.4332483781,0.0
C100-Td-285914-NZ,12.0,5.874716731262351,6.125283268737649,245.8,957.2,0.4368423445,0.5715591188,0.8557344385,0.8658564215,0.0
C104-C1-418995-NZ,-20.8,-13.078753355393825,-7.721246644606175,338.7,967.0,0.660851062,0.7642814507,0.865623371,1.645193792,3.1145234342
C104-S4-407398-NZ,-8.2,-6.873400164786631,-1.3265998352133686,378.5,1099.5,0.4889267324,0.5842537079,0.9192858451,1.6738335505,0.0
C104-T-418034-NZ,-11.4,-11.043083579058298,-0.35691642094170284,750.1,1357.7,0.4775088317,0.6857514744,0.6870125922,0.0,0.0
C180-Ih-1,-38.34,-31.83367562562242,-6.506324374377584,1436.6,2244.0,0.9505919136,2.9585087462,2.9786226013,0.0,0.0
